iter	Passed	Remaining
0	143	143583
1	145	72753
2	149	49527
3	152	37964
4	155	30970
5	158	26276
6	161	22896
7	164	20345
8	168	18513
9	171	16955
10	174	15679
11	177	14627
12	180	13741
13	183	12896
14	186	12224
15	189	11650
16	192	11144
17	195	10688
18	198	10258
19	201	9872
20	203	9482
21	205	9117
22	207	8817
23	210	8548
24	213	8318
25	215	8082
26	218	7874
27	221	7685
28	224	7510
29	227	7353
30	229	7187
31	232	7031
32	234	6879
33	237	6741
34	238	6581
35	239	6411
36	241	6285
37	243	6167
38	245	6051
39	247	5937
40	249	5833
41	250	5705
42	250	5582
43	251	5465
44	253	5376
45	255	5292
46	256	5208
47	258	5126
48	259	5039
49	260	4948
50	262	4881
51	264	4814
52	265	4747
53	267	4684
54	269	4630
55	271	4573
56	272	4515
57	274	4457
58	276	4410
59	278	4365
60	280	4313
61	282	4268
62	284	4224
63	285	4179
64	287	4132
65	288	4087
66	290	4047
67	292	4007
68	294	3972
69	296	3933
70	297	3897
71	299	3858
72	300	3821
73	302	3785
74	303	3748
75	305	3715
76	307	3681
77	308	3647
78	310	3618
79	312	3589
80	313	3560
81	315	3529
82	316	3493
83	317	3465
84	319	3436
85	320	3408
86	322	3380
87	323	3353
88	325	3328
89	326	3303
90	328	3279
91	329	3255
92	331	3231
93	332	3208
94	334	3188
95	336	3166
96	337	3146
97	339	3126
98	341	3104
99	342	3085
100	344	3064
101	345	3040
102	346	3018
103	347	2997
104	349	2976
105	350	2956
106	351	2935
107	353	2915
108	354	2894
109	355	2874
110	356	2855
111	358	2839
112	359	2821
113	360	2802
114	361	2784
115	362	2765
116	363	2746
117	365	2730
118	366	2711
119	367	2694
120	368	2677
121	369	2659
122	370	2642
123	371	2627
124	373	2614
125	374	2599
126	376	2584
127	377	2569
128	378	2555
129	379	2542
130	381	2528
131	382	2515
132	383	2501
133	384	2488
134	386	2476
135	387	2463
136	389	2450
137	390	2437
138	391	2423
139	392	2410
140	393	2397
141	394	2382
142	395	2369
143	396	2355
144	397	2342
145	398	2329
146	399	2316
147	400	2304
148	401	2292
149	402	2280
150	403	2268
151	404	2255
152	405	2244
153	406	2232
154	407	2220
155	408	2209
156	409	2198
157	410	2186
158	411	2175
159	412	2163
160	412	2151
161	413	2140
162	414	2130
163	415	2119
164	416	2107
165	417	2097
166	418	2087
167	419	2077
168	420	2066
169	421	2055
170	421	2045
171	422	2034
172	423	2024
173	424	2014
174	425	2004
175	425	1993
176	426	1984
177	427	1974
178	428	1964
179	429	1955
180	430	1945
181	430	1936
182	431	1927
183	432	1918
184	433	1909
185	434	1901
186	435	1892
187	436	1883
188	436	1874
189	437	1866
190	438	1857
191	439	1849
192	440	1841
193	441	1832
194	441	1824
195	442	1816
196	443	1809
197	444	1801
198	445	1793
199	446	1785
200	447	1779
201	448	1771
202	449	1764
203	450	1757
204	451	1750
205	452	1742
206	453	1735
207	453	1728
208	454	1721
209	455	1714
210	456	1707
211	457	1699
212	458	1692
213	458	1685
214	459	1678
215	460	1670
216	461	1664
217	462	1657
218	462	1650
219	463	1643
220	464	1636
221	464	1629
222	465	1622
223	466	1615
224	467	1608
225	467	1601
226	468	1594
227	468	1587
228	469	1580
229	470	1574
230	470	1567
231	471	1560
232	472	1554
233	472	1547
234	473	1541
235	474	1534
236	474	1528
237	475	1522
238	476	1515
239	476	1510
240	477	1504
241	478	1499
242	479	1493
243	480	1487
244	480	1481
245	481	1475
246	482	1470
247	482	1464
248	483	1458
249	484	1452
250	484	1447
251	485	1441
252	486	1436
253	487	1430
254	487	1425
255	488	1419
256	489	1414
257	490	1409
258	490	1404
259	491	1398
260	492	1393
261	492	1388
262	493	1383
263	494	1378
264	495	1373
265	495	1368
266	496	1363
267	497	1358
268	498	1353
269	498	1348
270	499	1344
271	500	1339
272	501	1335
273	502	1330
274	502	1325
275	503	1321
276	504	1316
277	505	1312
278	506	1308
279	507	1303
280	507	1299
281	508	1294
282	509	1290
283	510	1285
284	510	1281
285	511	1276
286	512	1272
287	513	1268
288	513	1264
289	514	1260
290	515	1255
291	516	1251
292	517	1247
293	517	1243
294	518	1239
295	519	1235
296	519	1230
297	520	1226
298	521	1222
299	522	1218
300	522	1214
301	523	1210
302	524	1206
303	525	1202
304	526	1198
305	526	1194
306	527	1190
307	528	1187
308	529	1183
309	529	1179
310	530	1175
311	531	1171
312	532	1168
313	532	1164
314	533	1160
315	534	1156
316	535	1153
317	536	1149
318	536	1145
319	537	1142
320	538	1138
321	539	1134
322	539	1131
323	540	1127
324	541	1123
325	541	1120
326	542	1116
327	543	1112
328	543	1109
329	544	1105
330	545	1101
331	545	1098
332	546	1094
333	547	1091
334	547	1087
335	548	1084
336	549	1081
337	550	1077
338	550	1073
339	551	1070
340	552	1066
341	552	1063
342	553	1060
343	554	1057
344	555	1054
345	556	1051
346	556	1048
347	557	1044
348	558	1041
349	559	1038
350	559	1035
351	560	1032
352	561	1029
353	562	1026
354	563	1023
355	563	1020
356	564	1016
357	565	1013
358	566	1011
359	566	1007
360	567	1005
361	568	1002
362	569	999
363	570	996
364	571	993
365	572	991
366	572	988
367	573	985
368	574	982
369	575	979
370	576	976
371	576	973
372	577	971
373	578	968
374	579	965
375	580	962
376	580	959
377	581	956
378	582	954
379	582	951
380	583	948
381	584	945
382	585	942
383	586	940
384	586	937
385	587	934
386	588	931
387	589	929
388	589	926
389	590	923
390	591	920
391	592	918
392	592	915
393	593	913
394	594	910
395	595	907
396	595	905
397	596	902
398	597	899
399	598	897
400	598	894
401	599	892
402	600	889
403	601	887
404	602	884
405	602	881
406	603	879
407	604	876
408	604	873
409	605	871
410	606	868
411	606	866
412	607	863
413	608	860
414	608	858
415	609	855
416	610	853
417	611	850
418	611	848
419	612	845
420	613	843
421	613	840
422	614	838
423	615	836
424	616	833
425	617	831
426	617	829
427	618	827
428	619	824
429	620	822
430	621	820
431	621	817
432	622	815
433	623	812
434	624	810
435	624	808
436	625	805
437	626	803
438	627	801
439	628	799
440	629	797
441	629	795
442	630	793
443	631	790
444	632	788
445	632	786
446	633	783
447	634	781
448	635	779
449	636	777
450	637	775
451	637	773
452	638	771
453	639	768
454	640	766
455	640	764
456	641	762
457	642	760
458	643	758
459	643	755
460	644	753
461	645	751
462	646	749
463	647	747
464	647	745
465	648	743
466	649	741
467	650	738
468	650	736
469	651	734
470	652	732
471	652	730
472	653	728
473	654	726
474	654	723
475	655	721
476	656	719
